judul,url,lpse,metode,satker,tahap,hps,jadwal,page
Konsultan Supervisi Pembangunan Jalan Bangun Rejo,https://pengadaan.info/detail/konsultan-supervisi-pembangunan-jalan-bangun-rejo,LPSE Provinsi Kalimantan Selatan,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 599.782.000,00",21 January 2026 14:00:00 s/d 05 March 2026 16:00:00,5
Konsultan Supervisi Rehabilitasi Jalan Mistar Cokrokusumo - SMA 3 - Aneka Tambang,https://pengadaan.info/detail/konsultan-supervisi-rehabilitasi-jalan-mistar-cokrokusumo-sma-3-aneka-tambang,LPSE Provinsi Kalimantan Selatan,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 299.994.000,00",21 January 2026 14:00:00 s/d 05 March 2026 16:00:00,5
Konsultan Supervisi Rekonstruksi Jalan Alternatif ke Makam Syech M. Arsyad Al-Banjari,https://pengadaan.info/detail/konsultan-supervisi-rekonstruksi-jalan-alternatif-ke-makam-syech-m-arsyad-al-banjari,LPSE Provinsi Kalimantan Selatan,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 399.583.000,00",21 January 2026 14:00:00 s/d 05 March 2026 16:00:00,5
PRESERVASI JALAN DAN JEMBATAN TAMILOW - HAYA - TEHORU - LAIMU - WERINAMA,https://pengadaan.info/detail/preservasi-jalan-dan-jembatan-tamilow-haya-tehoru-laimu-werinama,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,693936,Pengumuman Pascakualifikasi [...],"Hps Rp 6.193.282.000,00",21 January 2026 14:00:00 s/d 11 February 2026 14:00:00,5
Konsultan Supervisi Rekonstruksi Jalan Sei Tabuk - Penggalaman,https://pengadaan.info/detail/konsultan-supervisi-rekonstruksi-jalan-sei-tabuk-penggalaman,LPSE Provinsi Kalimantan Selatan,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 499.977.000,00",21 January 2026 14:00:00 s/d 05 March 2026 16:00:00,5
Konsultan Supervisi Rehabilitasi Jalan Lampihong - Mantimin,https://pengadaan.info/detail/konsultan-supervisi-rehabilitasi-jalan-lampihong-mantimin,LPSE Provinsi Kalimantan Selatan,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 299.994.000,00",21 January 2026 14:00:00 s/d 05 March 2026 16:00:00,5
Konsultan Supervisi Pembangunan Jalan Tanjung Serdang - Lontar,https://pengadaan.info/detail/konsultan-supervisi-pembangunan-jalan-tanjung-serdang-lontar,LPSE Provinsi Kalimantan Selatan,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 299.988.000,00",21 January 2026 14:00:00 s/d 05 March 2026 16:00:00,5
Pengawasan Pembuatan Dinding Penahan Tanah Bandara Siau,https://pengadaan.info/detail/pengawasan-pembuatan-dinding-penahan-tanah-bandara-siau,LPSE Kementerian Perhubungan,-,BANDAR UDARA NAHA DI TAHUNA,Pengumuman Prakualifikasi [...],"Hps Rp 521.741.181,00",21 January 2026 14:00:00 s/d 20 March 2026 16:00:00,6
Konsultan Supervisi Rekonstruksi Jalan Akses Bandara Baru Syamsuddin Noor,https://pengadaan.info/detail/konsultan-supervisi-rekonstruksi-jalan-akses-bandara-baru-syamsuddin-noor,LPSE Provinsi Kalimantan Selatan,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 399.583.000,00",21 January 2026 14:00:00 s/d 05 March 2026 16:00:00,6
Konsultan Supervisi Rehabilitasi Jalan Lampihong - Mantimin,https://pengadaan.info/detail/konsultan-supervisi-rehabilitasi-jalan-lampihong-mantimin,LPSE Provinsi Kalimantan Selatan,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 299.994.000,00",21 January 2026 14:00:00 s/d 05 March 2026 16:00:00,6
Konsultan Supervisi Pembangunan Jalan Tanjung Serdang - Lontar,https://pengadaan.info/detail/konsultan-supervisi-pembangunan-jalan-tanjung-serdang-lontar,LPSE Provinsi Kalimantan Selatan,-,DINAS PEKERJAAN UMUM DAN PENATAAN RUANG,Pengumuman Prakualifikasi [...],"Hps Rp 299.988.000,00",21 January 2026 14:00:00 s/d 05 March 2026 16:00:00,6
PRESERVASI JALAN DAN JEMBATAN TAMILOW - HAYA - TEHORU - LAIMU - WERINAMA,https://pengadaan.info/detail/preservasi-jalan-dan-jembatan-tamilow-haya-tehoru-laimu-werinama,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,693936,Pengumuman Pascakualifikasi [...],"Hps Rp 6.193.282.000,00",21 January 2026 14:00:00 s/d 11 February 2026 14:00:00,6
PRESERVASI JALAN DAN JEMBATAN SP. WAIPIRIT - SP. ETI - PIRU - WAISELAN - LATU - LIANG,https://pengadaan.info/detail/preservasi-jalan-dan-jembatan-sp-waipirit-sp-eti-piru-waiselan-latu-liang,LPSE Kementrian Pekerjaan Umum dan Perumahan Rakyat,-,693935,Pengumuman Pascakualifikasi [...],"Hps Rp 13.235.020.993,84",21 January 2026 13:00:00 s/d 11 February 2026 14:00:00,6
Pengadaan Peralatan VBSS KRI Koarmada II,https://pengadaan.info/detail/pengadaan-peralatan-vbss-kri-koarmada-ii,LPSE TNI Angkatan Laut,-,MAKO KOARMADA II TNI AL,Pengumuman Pascakualifikasi [...],"Hps Rp 10.000.000.000,00",21 January 2026 13:00:00 s/d 17 February 2026 12:00:00,6
Pemotongan Bukit Obstacle Tahap II,https://pengadaan.info/detail/pemotongan-bukit-obstacle-tahap-ii,LPSE Kementerian Perhubungan,-,UNIT PENYELENGGARA BANDAR UDARA SIBORU FAKFAK,Pengumuman Pascakualifikasi [...],"Hps Rp 9.256.000.000,00",21 January 2026 12:00:00 s/d 09 February 2026 17:00:00,6
